Test, Result Name, Result Value, Comment
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes Test 4, 4.073047089, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes Test 5, 4.22205932, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes Test 6, 4.021391598, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes Test 7, 4.060532879, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes MIN, 4.021391598, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes MAX, 4.49191054, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes AVG, 4.188789448125, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Global Heap Maximum Test (HEAPTRACK), AES-128-CTR encrypt 1024 bytes, 80920, aes-ctr/target/release/aes-ctr -c encrypt -k 0c02e7a4d1d25c6ba877c8cea21c1faf -v 3f9844826c256227ea84883da5db6e07 -i dhat-test.tmp -o dhat-test.out.tmp
Global Heap Maximum Test (HEAPTRACK), AES-128-CTR encrypt 1048576 bytes, 5320000, aes-ctr/target/release/aes-ctr -c encrypt -k 0c02e7a4d1d25c6ba877c8cea21c1faf -v 3f9844826c256227ea84883da5db6e07 -i dhat-test.tmp -o dhat-test.out.tmp
Global Heap Maximum Test (HEAPTRACK), AES-128-CTR encrypt 268435456 bytes, TIMEOUT, aes-ctr/target/release/aes-ctr -c encrypt -k 0c02e7a4d1d25c6ba877c8cea21c1faf -v 3f9844826c256227ea84883da5db6e07 -i dhat-test.tmp -o dhat-test.out.tmp
